source_id,survey,wave,original_name,section,description,answer_categories_and_codes,filter,anonymisation_rule,source_document,source_location,extraction_method,review_status
EHIS-W3-ANON-RULES,EHIS,3,PL5,Functional limitations,Difficulty in hearing what is said in a conversation with one other person in a noisier room even when using a hearing aid,1 No difficulty,If PL3 = 1 or 2 or -1,"recoding: for deaf people (code 3 in PL3), code 4 is used",EHIS wave 3 anonymisation rules.docx,"table 2, row 229",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PL6,Functional limitations,Difficulty in walking half a km on level ground without the use of any aid,1 No difficulty,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 236",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PL7,Functional limitations,Difficulty in walking up or down 12 steps,1 No difficulty,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 241",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PL8,Functional limitations,Difficulty in remembering or concentrating,1 No difficulty,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 246",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PL9,Functional limitations,Difficulty biting and chewing on hard foods,1 No difficulty,if AGE >= 55,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 251",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PC1A,Personal care activities,Difficulty in feeding yourself,1 No difficulty,if AGE >= 55,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 257",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PC1B,Personal care activities,Difficulty in getting in and out of a bed or chair,1 No difficulty,if AGE >= 55,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 263",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PC1C,Personal care activities,Difficulty in dressing and undressing,1 No difficulty,if AGE >= 55,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 270",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PC1D,Personal care activities,Difficulty in using toilets,1 No difficulty,if AGE >= 55,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 277",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PC1E,Personal care activities,Difficulty in bathing or showering,1 No difficulty,if AGE >= 55,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 284",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PC2,Personal care activities,"Usually receiving help with one or more self-care activities: feeding yourself, getting in and out of a bed or chair, dressing and undressing, using toilets, bathing or showering","1 Yes, with at least one activity",if (AGE >= 55) and,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 291",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PC3,Personal care activities,"Need to receive help or more help with one or more self-care activities: feeding yourself, getting in and out of a bed or chair, dressing and undressing, using toilets, bathing or showering","1 Yes, with at least one activity",if (AGE >= 55) and,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 296",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HA1A,Household activities,Difficulty in preparing meals,1 No difficulty,if AGE >= 55,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 302",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HA1B,Household activities,Difficulty in using the telephone,1 No difficulty,if AGE >= 55,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 309",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HA1C,Household activities,Difficulty to do shopping,1 No difficulty,if AGE >= 55,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 317",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HA1D,Household activities,Difficulty in managing medication,1 No difficulty,if AGE >= 55,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 324",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HA1E,Household activities,Difficulty in doing light housework,1 No difficulty,if AGE >= 55,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 331",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HA1F,Household activities,Difficulty in doing occasional heavy housework,1 No difficulty,if AGE >= 55,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 338",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HA1G,Household activities,Difficulty in taking care of finances and everyday administrative tasks,1 No difficulty,if AGE >= 55,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 345",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HA2,Household activities,"Usually receiving help with one or more domestic activities: preparing meals, using the telephone, shopping, managing medication, light or occasional heavy housework, taking care of finances and everyday administrative tasks","1 Yes, with at least one activity",if (AGE >= 55) and {HA1A ≠ 1 or HA1B ≠ 1 or HA1C ≠ 1 or HA1D ≠ 1 or HA1E ≠ 1 or HA1F ≠ 1or HA1G ≠ 1},unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 352",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HA3,Household activities,"Need for help or more help with one or more domestic activities: preparing meals, using the telephone, shopping, managing medication, light or occasional heavy housework, taking care of finances and everyday administrative tasks","1 Yes, with at least one activity",if (AGE >= 55) and {HA1A ≠ 1 or HA1B ≠ 1 or HA1C ≠ 1 or HA1D ≠ 1 or HA1E ≠ 1 or HA1F ≠ 1or HA1G ≠ 1},unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 356",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PN1,Pain,Intensity of bodily pain during the past 4 weeks,1 None,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 361",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PN2,Pain,Extent that pain interfered with normal work during the past 4 weeks (including both work outside the home and housework),1 Not at all,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 368",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,MH1A,Mental health,Extent of having little interest or pleasure in doing things over the last 2 weeks,1 Not at all,Everybody,unalteredCountry-specific rule:• ES: variable removed,EHIS wave 3 anonymisation rules.docx,"table 2, row 375",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,MH1B,Mental health,"Extent of feeling down, depressed or hopeless over the last 2 weeks",1 Not at all,Everybody,unalteredCountry-specific rule:• ES: variable removed,EHIS wave 3 anonymisation rules.docx,"table 2, row 380",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,MH1C,Mental health,"Extent of having trouble falling or staying asleep, or sleeping too much over the last 2 weeks",1 Not at all,Everybody,unalteredCountry-specific rule:• ES: variable removed,EHIS wave 3 anonymisation rules.docx,"table 2, row 385",OOXML table grid,EXTRACTED_UNREVIEWED
